độ ẩm bề mặt đất,nhiệt độ bề mặt,tổng lượng mưa,month
3.1177514517479007e-05,298.71547722761187,0.0001940796205006,T1
2.773620078319822e-05,300.56059494850285,0.0002136576123976,T2
1.4573372780213678e-05,303.1153030889502,0.0003047237039325,T3
0.000137370562817,301.9949685295387,0.0040706396284791,T4
0.0001918436003806,301.00968220718426,0.0052716501342969,T5
0.0001041103741316,300.62475052574774,0.0032869902001999,T6
0.0001659804886448,300.3224552783648,0.005450067603117,T7
0.0001345739208306,300.59961427619817,0.0051944828455148,T8
0.0001689336099412,299.9604341454763,0.0062722923701517,T9
0.000161127919211,300.0480358298534,0.006579674659774,T10
0.0001715860734404,299.4872769091236,0.0072086613918553,T11
5.965568346155116e-05,298.8821047647678,0.000715203351984,T12
